"filename", "language", "C++", "LaTeX", "Python", "comment", "blank", "total"
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Shattered Cake.cpp", "C++", 14, 0, 0, 0, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Sibice.cpp", "C++", 13, 0, 0, 0, 1, 14
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Simon says.cpp", "C++", 20, 0, 0, 0, 1, 21
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Smoothie Stand.cpp", "C++", 31, 0, 0, 1, 0, 32
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Soda Slurper.cpp", "C++", 14, 0, 0, 0, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Soylent.cpp", "C++", 11, 0, 0, 0, 1, 12
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Statistics.cpp", "C++", 20, 0, 0, 0, 1, 21
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Stopwatch.cpp", "C++", 18, 0, 0, 0, 1, 19
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Stuck in a time loop.cpp", "C++", 12, 0, 0, 0, 1, 13
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Thanos.cpp", "C++", 18, 0, 0, 0, 1, 19
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/The Calculus of Ada.cpp", "C++", 37, 0, 0, 4, 3, 44
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/The key to cryptography.cpp", "C++", 17, 0, 0, 0, 1, 18
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Tower Construction.cpp", "C++", 14, 0, 0, 0, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Trik.cpp", "C++", 16, 0, 0, 0, 1, 17
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Two sum.cpp", "C++", 8, 0, 0, 0, 1, 9
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Zamka.cpp", "C++", 39, 0, 0, 0, 3, 42
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Zoom.cpp", "C++", 17, 0, 0, 0, 3, 20
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Zyxab.cpp", "C++", 45, 0, 0, 0, 2, 47
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/hothike.cpp", "C++", 20, 0, 0, 0, 2, 22
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/jack o lantern juxtaposition.cpp", "C++", 8, 0, 0, 0, 1, 9
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/krizaljka.cpp", "C++", 32, 0, 0, 1, 2, 35
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/mirror.cpp", "C++", 19, 0, 0, 0, 1, 20
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/smart phone.cpp", "C++", 33, 0, 0, 3, 2, 38
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/(undone)Cyanide Rivers.cpp", "C++", 32, 0, 0, 1, 3, 36
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/(undone)Inflation.cpp", "C++", 39, 0, 0, 1, 3, 43
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/(undone)Paradox With Averages (Hard).cpp", "C++", 41, 0, 0, 1, 4, 46
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/A Prize No One Can Win.cpp", "C++", 28, 0, 0, 1, 3, 32
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/A new alphabet.cpp", "C++", 15, 0, 0, 1, 0, 16
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Akcija.cpp", "C++", 33, 0, 0, 0, 1, 34
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Astrological Sign.cpp", "C++", 35, 0, 0, 1, 4, 40
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Batmanacci.cpp", "C++", 32, 0, 0, 1, 4, 37
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Cudoviste.cpp", "C++", 32, 0, 0, 10, 0, 42
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Election Paradox.cpp", "C++", 27, 0, 0, 1, 3, 31
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/ICPC Tutorial.cpp", "C++", 80, 0, 0, 3, 7, 90
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Keylogger.cpp", "C++", 33, 0, 0, 8, 2, 43
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Nine Knights.cpp", "C++", 39, 0, 0, 1, 3, 43
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Printing Costs.cpp", "C++", 47, 0, 0, 7, 3, 57
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Treasure Hunt.cpp", "C++", 55, 0, 0, 42, 6, 103
"/Users/shiyu./Desktop/CP-Code/Kattis/DSA/Trik.cpp", "C++", 22, 0, 0, 1, 2, 25
